sample_id	PAM50_recomputed	PAM50Call_RNAseq	PAM50_final	thornsson_subtype	CPE
TCGA-AR-A24V-01	LumB	LumA	LumA		0.746
TCGA-AR-A24W-01	LumA	LumA	LumA		0.6138
TCGA-AR-A24X-01	LumB	LumA	LumA		0.7985
TCGA-AR-A24Z-01	LumB	LumB	LumB		0.8886
TCGA-AR-A250-01	Her2	LumB	LumB		0.5916
TCGA-AR-A251-01	Basal	Basal	Basal		0.8039
TCGA-AR-A252-01	LumA	LumA	LumA		0.4382
TCGA-AR-A254-01	Her2	Her2	Her2		0.6458
TCGA-AR-A255-01	LumB	LumA	LumA		0.6931
TCGA-AR-A256-01	Basal	Basal	Basal		0.8204
TCGA-AR-A2LE-01	LumA	LumA	LumA		0.8306
TCGA-AR-A2LH-01	Basal	Normal	Normal		0.4697
TCGA-AR-A2LJ-01	LumA		LumA		0.652
TCGA-AR-A2LK-01	LumB	LumB	LumB		0.8692
TCGA-AR-A2LL-01	LumB	LumB	LumB		0.8337
TCGA-AR-A2LM-01	LumA	LumA	LumA		0.7744
TCGA-AR-A2LN-01	LumA	LumA	LumA		0.6702
TCGA-AR-A2LO-01	LumA	LumA	LumA		0.6388
TCGA-AR-A2LQ-01	Normal	Normal	Normal		0.5055
TCGA-AR-A2LR-01	Basal	Basal	Basal		0.87
TCGA-AR-A5QM-01	LumA		LumA		0.6158
TCGA-AR-A5QN-01	LumA		LumA		0.7466
TCGA-AR-A5QP-01	LumA		LumA		0.7489
TCGA-AR-A5QQ-01	Basal		Basal		0.4909
TCGA-B6-A0I1-01	Basal	Basal	Basal		0.8198
TCGA-B6-A0I2-01	Basal	Basal	Basal		0.6522
TCGA-B6-A0I5-01	LumA	LumA	LumA		0.7466
TCGA-B6-A0I6-01	Basal	Basal	Basal		0.8137
TCGA-B6-A0I8-01	LumB	LumA	LumA		0.8528
TCGA-B6-A0I9-01	Her2	Her2	Her2		0.7508
TCGA-B6-A0IA-01	LumB	LumA	LumA		0.929
TCGA-B6-A0IB-01	LumB	LumB	LumB		0.8646
TCGA-B6-A0IC-01	LumB	LumA	LumA		0.9736
TCGA-B6-A0IE-01	LumB	LumA	LumA		0.8136
TCGA-B6-A0IG-01	Her2	LumA	LumA		0.8526
TCGA-B6-A0IH-01	LumA	LumA	LumA		0.6066
TCGA-B6-A0IJ-01	Basal	Basal	Basal		0.6333
TCGA-B6-A0IK-01	Her2	Her2	Her2		0.8024
TCGA-B6-A0IM-01	LumB	LumA	LumA		0.8136
TCGA-B6-A0IN-01	LumB	LumB	LumB		0.7223
TCGA-B6-A0IO-01	LumB	LumA	LumA		0.8583
TCGA-B6-A0IP-01	LumA	LumA	LumA		0.805
TCGA-B6-A0IQ-01	Basal	Basal	Basal		0.7019
TCGA-B6-A0RE-01	Basal	Basal	Basal		0.7943
TCGA-B6-A0RG-01	LumB	LumA	LumA		0.8958
TCGA-B6-A0RH-01	Her2	Her2	Her2		0.7792
TCGA-B6-A0RI-01	LumB	LumA	LumA		0.8374
TCGA-B6-A0RL-01	LumB	LumB	LumB		0.9797
TCGA-B6-A0RM-01	LumB	LumA	LumA		0.931
TCGA-B6-A0RN-01	LumA	LumA	LumA		0.8504
TCGA-B6-A0RO-01	LumA	LumA	LumA		0.8227
TCGA-B6-A0RP-01	LumA	LumA	LumA		0.7733
TCGA-B6-A0RQ-01	Normal	Normal	Normal		0.791
TCGA-B6-A0RS-01	Her2	Her2	Her2		0.7197
TCGA-B6-A0RT-01	Basal	Basal	Basal		0.3032
TCGA-B6-A0RU-01	Basal	Basal	Basal		0.8273
TCGA-B6-A0RV-01	LumA	LumA	LumA		0.7694
TCGA-B6-A0WS-01	LumB	LumA	LumA		0.656
TCGA-B6-A0WT-01	LumA	LumA	LumA		0.7788
TCGA-B6-A0WV-01	LumB	LumB	LumB		0.8728
TCGA-B6-A0WW-01	LumB	LumB	LumB		0.8315
TCGA-B6-A0WX-01	Basal	Basal	Basal		0.5499
TCGA-B6-A0WY-01	Normal	LumA	LumA		0.7754
TCGA-B6-A0WZ-01	LumB	LumA	LumA		0.8586
TCGA-B6-A0X0-01	LumA	LumA	LumA		0.8077
TCGA-B6-A0X1-01	Basal	Basal	Basal		0.8146
TCGA-B6-A0X4-01	LumA	LumA	LumA		0.9189
TCGA-B6-A0X5-01	LumB	LumB	LumB		0.8977
TCGA-B6-A0X7-01	LumA	LumA	LumA		0.7458
TCGA-B6-A1KC-01	LumB	LumB	LumB		0.9052
TCGA-B6-A1KF-01	Basal	Basal	Basal		0.9309
TCGA-B6-A1KI-01	LumA	LumA	LumA		0.7888
TCGA-B6-A1KN-01	LumB	LumB	LumB		0.7427
TCGA-B6-A2IU-01	LumA	LumA	LumA		0.852
TCGA-B6-A3ZX-01	Basal		Basal		0.4662
TCGA-B6-A400-01	Basal		Basal		0.6898
TCGA-B6-A401-01	LumA		LumA		0.6744
TCGA-B6-A402-01	Basal		Basal		0.8997
TCGA-B6-A408-01	LumA		LumA		0.8016
TCGA-B6-A409-01	Basal		Basal		0.7701
TCGA-B6-A40B-01	LumA		LumA		0.7592
TCGA-B6-A40C-01	LumB		LumB		0.7913
TCGA-BH-A0AU-01	LumB	LumB	LumB		0.652
TCGA-BH-A0AU-11	Normal	Normal	Normal		
TCGA-BH-A0AV-01	Basal	Basal	Basal		0.6844
TCGA-BH-A0AW-01	Her2	Her2	Her2		0.6617
TCGA-BH-A0AY-01	LumB	LumA	LumA		0.5612
TCGA-BH-A0AY-11	Normal	Normal	Normal		
TCGA-BH-A0AZ-01	LumA	LumA	LumA		0.6655
TCGA-BH-A0AZ-11	Normal	Normal	Normal		
TCGA-BH-A0B0-01	LumA	LumA	LumA		0.6749
TCGA-BH-A0B1-01	LumB	LumA	LumA		0.753
TCGA-BH-A0B2-01	LumA	LumA	LumA		0.7749
TCGA-BH-A0B2-11	Normal	Normal	Normal		
TCGA-BH-A0B3-01	Basal	Basal	Basal		0.646
TCGA-BH-A0B3-11	Normal	Normal	Normal		
TCGA-BH-A0B4-01	LumB	LumA	LumA		0.6749
TCGA-BH-A0B5-01	LumB	LumA	LumA		0.6566
TCGA-BH-A0B5-11	LumA	LumA	Normal		
TCGA-BH-A0B6-01	LumA		LumA		0.4975
TCGA-BH-A0B7-01	Her2	Her2	Her2		0.4954
TCGA-BH-A0B7-11	Normal	Normal	Normal		
TCGA-BH-A0B8-01	LumA	LumA	LumA		0.9342
TCGA-BH-A0B8-11	Normal	Normal	Normal		
TCGA-BH-A0B9-01	Basal		Basal		0.7243
TCGA-BH-A0BA-01	LumA	LumA	LumA		0.7278
TCGA-BH-A0BA-11	Normal	Normal	Normal		
TCGA-BH-A0BC-01	LumB	LumA	LumA		0.7727
TCGA-BH-A0BC-11	Normal	Normal	Normal		
TCGA-BH-A0BD-01	LumB	LumB	LumB		0.7913
TCGA-BH-A0BF-01	LumB	LumB	LumB		0.5676
TCGA-BH-A0BG-01	Basal	Basal	Basal		0.6749
TCGA-BH-A0BJ-01	LumA	LumA	LumA		0.7458
TCGA-BH-A0BJ-11	Normal	Normal	Normal		
TCGA-BH-A0BL-01	Basal	Basal	Basal		0.5873
TCGA-BH-A0BM-01	LumA	LumA	LumA		0.7886
TCGA-BH-A0BM-11	Normal	Normal	Normal		
TCGA-BH-A0BO-01	LumA	LumA	LumA		0.5193
TCGA-BH-A0BP-01	LumA	LumA	LumA		0.6597
TCGA-BH-A0BQ-01	LumA	LumA	LumA		0.5779
TCGA-BH-A0BQ-11	Normal	Normal	Normal		
TCGA-BH-A0BR-01	Her2	LumA	LumA		0.5233
TCGA-BH-A0BS-01	LumB	LumA	LumA		0.8722
TCGA-BH-A0BS-11	Normal	Normal	Normal		
TCGA-BH-A0BT-01	LumA	LumA	LumA		0.7751
TCGA-BH-A0BT-11	LumA	Normal	Normal		
TCGA-BH-A0BV-01	LumB	LumA	LumA		0.6749
TCGA-BH-A0BV-11	Normal	Normal	Normal		
TCGA-BH-A0BW-01	Basal	Basal	Basal		0.6749
TCGA-BH-A0BW-11	Basal	Normal	Normal		
TCGA-BH-A0BZ-01	LumB	LumB	LumB		0.5138
TCGA-BH-A0BZ-11	Normal	Normal	Normal		
TCGA-BH-A0C0-01	LumB	LumB	LumB		0.5068
TCGA-BH-A0C0-11	Normal	Normal	Normal		
TCGA-BH-A0C1-01	LumB	LumA	LumA		0.6581
TCGA-BH-A0C3-01	LumB	LumB	LumB		0.528
TCGA-BH-A0C3-11	Normal	Normal	Normal		
TCGA-BH-A0C7-01	LumB	LumB	LumB		0.776
TCGA-BH-A0DD-01	LumB	LumB	LumB		0.8714
TCGA-BH-A0DD-11	LumA	LumA	Normal		
TCGA-BH-A0DE-01	LumA	LumA	LumA		0.6844
TCGA-BH-A0DG-01	LumB	LumA	LumA		0.5386
TCGA-BH-A0DG-11	Normal	Normal	Normal		
TCGA-BH-A0DH-01	LumA	LumA	LumA		0.8597
TCGA-BH-A0DH-11	Normal	Normal	Normal		
TCGA-BH-A0DI-01	LumA	LumA	LumA		0.5542
TCGA-BH-A0DK-01	LumB	LumA	LumA		0.6837
TCGA-BH-A0DK-11	LumA	LumA	Normal		
TCGA-BH-A0DL-01	Basal	Basal	Basal		0.6655
TCGA-BH-A0DL-11	Normal	Normal	Normal		
TCGA-BH-A0DO-01	LumA	LumA	LumA		0.7019
TCGA-BH-A0DO-11	Normal	Normal	Normal		
TCGA-BH-A0DP-01	LumA	LumA	LumA		0.655
TCGA-BH-A0DP-11	Normal	Normal	Normal		
TCGA-BH-A0DQ-01	LumB	LumA	LumA		0.7869
TCGA-BH-A0DQ-11	LumA	LumA	Normal		
TCGA-BH-A0DS-01	LumB	LumA	LumA		0.7423
TCGA-BH-A0DT-01	LumA	LumA	LumA		0.6659
TCGA-BH-A0DT-11	Normal	Normal	Normal		
TCGA-BH-A0DV-01	LumA	LumA	LumA		0.4856
TCGA-BH-A0DV-11	Normal	Normal	Normal		
TCGA-BH-A0DX-01	LumB	LumA	LumA		0.5327
TCGA-BH-A0DZ-01	Her2	LumA	LumA		0.7792
TCGA-BH-A0DZ-11	Normal		Normal		
TCGA-BH-A0E0-01	Basal	Basal	Basal		0.7486
TCGA-BH-A0E0-11	Normal	Normal	Normal		
TCGA-BH-A0E1-01	LumB	LumA	LumA		0.8524
TCGA-BH-A0E1-11	Normal	Normal	Normal		
TCGA-BH-A0E2-01	LumB	LumA	LumA		0.8287
TCGA-BH-A0E6-01	Basal	Basal	Basal		0.7617
TCGA-BH-A0E7-01	LumA	LumA	LumA		0.8646
TCGA-BH-A0E9-01	LumA	LumA	LumA		0.7531
TCGA-BH-A0EA-01	LumA	LumA	LumA		0.684
TCGA-BH-A0EB-01	LumA	LumA	LumA		0.5517
TCGA-BH-A0EE-01	Her2	Her2	Her2		0.8136
TCGA-BH-A0EI-01	LumA	LumA	LumA		0.8077
TCGA-BH-A0GY-01	LumB	LumA	LumA		0.7539
TCGA-BH-A0GZ-01	LumA	LumA	LumA		0.7978
TCGA-BH-A0H0-01	LumB	LumB	LumB		0.9449
TCGA-BH-A0H3-01	LumA	LumA	LumA		0.656
TCGA-BH-A0H5-01	LumA	LumA	LumA		0.1632
TCGA-BH-A0H5-11	Normal	Normal	Normal		
TCGA-BH-A0H6-01	LumA	LumA	LumA		0.8311
TCGA-BH-A0H7-01	LumB	LumA	LumA		0.7534
TCGA-BH-A0H7-11	Normal	Normal	Normal		
TCGA-BH-A0H9-01	LumB	LumA	LumA		0.747
TCGA-BH-A0H9-11	Normal		Normal		
TCGA-BH-A0HA-01	LumA	LumA	LumA		0.7386
TCGA-BH-A0HA-11	Normal	Normal	Normal		
TCGA-BH-A0HB-01	LumB	LumA	LumA		0.7964
TCGA-BH-A0HF-01	LumA	LumA	LumA		0.7424
TCGA-BH-A0HI-01	LumA	LumA	LumA		0.8536
TCGA-BH-A0HK-01	LumA	LumA	LumA		0.8357
TCGA-BH-A0HK-11	Normal	Normal	Normal		
TCGA-BH-A0HL-01	LumB		LumB		0.8835
TCGA-BH-A0HN-01	LumB		LumB		0.903
TCGA-BH-A0HO-01	LumA	LumA	LumA		0.7019
TCGA-BH-A0HP-01	LumA	LumA	LumA		0.6866
TCGA-BH-A0HQ-01	LumA	LumA	LumA		0.7576
TCGA-BH-A0HU-01	LumB	LumB	LumB		0.8583
TCGA-BH-A0HW-01	LumB	LumB	LumB		0.9767
TCGA-BH-A0HX-01	LumB	LumA	LumA		0.7759
TCGA-BH-A0HY-01	Her2	LumB	LumB		0.8838
TCGA-BH-A0RX-01	Basal	Basal	Basal		0.366
TCGA-BH-A0W3-01	LumB	LumB	LumB		0.8827
TCGA-BH-A0W4-01	LumA	LumA	LumA		0.8002
TCGA-BH-A0W5-01	LumA	LumA	LumA		0.514
TCGA-BH-A0W7-01	Her2	LumA	LumA		0.7034
TCGA-BH-A0WA-01	Basal	Basal	Basal		0.7925
TCGA-BH-A18F-01	Her2	LumA	LumA		0.6309
TCGA-BH-A18G-01	Basal	Basal	Basal		0.912
TCGA-BH-A18H-01	LumA	LumA	LumA		0.5548
TCGA-BH-A18I-01	LumA	LumA	LumA		0.7034
TCGA-BH-A18J-01	LumB	LumA	LumA		0.7243
TCGA-BH-A18J-11	Normal	Normal	Normal		
TCGA-BH-A18K-01	LumB	LumA	LumA		0.7468
TCGA-BH-A18K-11	Normal	Normal	Normal		
TCGA-BH-A18L-01	LumB	LumB	LumB		0.9113
TCGA-BH-A18L-11	Normal	Normal	Normal		
TCGA-BH-A18M-01	LumA	LumA	LumA		0.6525
TCGA-BH-A18M-11	Normal	Normal	Normal		
TCGA-BH-A18N-01	LumB	LumA	LumA		0.832
TCGA-BH-A18N-11	LumA	Normal	Normal		
TCGA-BH-A18P-01	Her2	Her2	Her2		0.836
TCGA-BH-A18P-11	Normal	Normal	Normal		
TCGA-BH-A18Q-01	Basal	Basal	Basal		0.836
TCGA-BH-A18Q-11	Normal	Normal	Normal		
TCGA-BH-A18R-01	Her2	Her2	Her2		0.7466
TCGA-BH-A18R-11	Normal	Normal	Normal		
TCGA-BH-A18S-01	LumA	LumA	LumA		0.8676
TCGA-BH-A18S-11	Normal	Normal	Normal		
TCGA-BH-A18T-01	Basal	Basal	Basal		0.8266
TCGA-BH-A18U-01	LumB	LumB	LumB		0.8077
TCGA-BH-A18U-11	Normal	Normal	Normal		
TCGA-BH-A18V-01	Basal	Basal	Basal		
TCGA-BH-A18V-06	Basal	Basal	Basal		0.6021
TCGA-BH-A18V-11	Normal	Normal	Normal		
TCGA-BH-A1EN-01	Her2	Her2	Her2		0.8179
TCGA-BH-A1EN-11	Normal	Normal	Normal		
TCGA-BH-A1EO-01	LumB	LumA	LumA		0.7493
TCGA-BH-A1EO-11	Normal	LumA	Normal		
TCGA-BH-A1ES-01	LumB	LumA	LumA		
TCGA-BH-A1ES-06	LumA		LumA		0.9443
TCGA-BH-A1ET-01	LumA	LumA	LumA		0.8442
TCGA-BH-A1ET-11	LumA	Normal	Normal		
TCGA-BH-A1EU-01	LumA	LumA	LumA		0.4299
TCGA-BH-A1EU-11	Normal	Normal	Normal		
TCGA-BH-A1EV-01	Her2	Her2	Her2		0.817
TCGA-BH-A1EV-11	Normal	Normal	Normal		
TCGA-BH-A1EW-01	LumB	LumA	LumA		0.5972
TCGA-BH-A1EW-11	LumA	LumA	Normal		
TCGA-BH-A1EX-01	Her2	LumA	LumA		0.7618
TCGA-BH-A1EY-01	LumB	LumA	LumA		0.6308
TCGA-BH-A1F0-01	Basal	Basal	Basal		0.358
TCGA-BH-A1F0-11	Normal	Normal	Normal		
TCGA-BH-A1F2-01	LumB	LumB	LumB		0.754
TCGA-BH-A1F2-11	Normal	Normal	Normal		
TCGA-BH-A1F5-01	LumA	LumA	LumA		0.8969
TCGA-BH-A1F6-01	Basal	Basal	Basal		0.6316
TCGA-BH-A1F6-11	Normal	Normal	Normal		
TCGA-BH-A1F8-01	LumB	LumB	LumB		0.8885
TCGA-BH-A1F8-11	Normal	Normal	Normal		
TCGA-BH-A1FB-01	LumA	LumA	LumA		0.6007
TCGA-BH-A1FB-11	Normal	Normal	Normal		
TCGA-BH-A1FC-01	Basal	Basal	Basal		0.6517
TCGA-BH-A1FC-11	Normal	Normal	Normal		
TCGA-BH-A1FD-01	LumB	LumB	LumB		0.8692
TCGA-BH-A1FD-11	Normal	Normal	Normal		
TCGA-BH-A1FE-01	Her2	LumA	LumA		
TCGA-BH-A1FE-06	Basal	Normal	Normal		0.5026
TCGA-BH-A1FE-11	Normal	Normal	Normal		
TCGA-BH-A1FG-01	LumA	LumA	LumA		0.9042
TCGA-BH-A1FG-11	Normal	Normal	Normal		
TCGA-BH-A1FH-01	Normal	LumA	LumA		0.6881
TCGA-BH-A1FH-11	Normal	Normal	Normal		
TCGA-BH-A1FJ-01	LumB	LumB	LumB		0.9548
TCGA-BH-A1FJ-11	Normal	Normal	Normal		
TCGA-BH-A1FL-01	LumB	LumA	LumA		0.8912
TCGA-BH-A1FM-01	LumB	LumB	LumB		0.7874
TCGA-BH-A1FM-11	Normal	Normal	Normal		
TCGA-BH-A1FN-01	LumB	LumB	LumB		0.8313
TCGA-BH-A1FN-11	Normal	Normal	Normal		
TCGA-BH-A1FR-01	LumB	LumA	LumA		0.7881
TCGA-BH-A1FR-11	Normal	Normal	Normal		
TCGA-BH-A1FU-01	Her2	Normal	Normal		0.6121
TCGA-BH-A1FU-11	Normal	Normal	Normal		
TCGA-BH-A201-01	Normal	LumA	LumA		0.7648
TCGA-BH-A202-01	LumB	LumB	LumB		0.6758
TCGA-BH-A203-01	Her2	Her2	Her2		0.5905
TCGA-BH-A203-11	Normal	Normal	Normal		
TCGA-BH-A204-01	LumB	LumB	LumB		0.9601
TCGA-BH-A204-11	Normal	Normal	Normal		
TCGA-BH-A208-01	Her2	Normal	Normal		0.5642
TCGA-BH-A208-11	Normal	Normal	Normal		
TCGA-BH-A209-01	LumB	LumB	LumB		0.4645
TCGA-BH-A209-11	Normal	Normal	Normal		
TCGA-BH-A28O-01	Normal		Normal		0.8591
TCGA-BH-A28Q-01	LumA	LumA	LumA		0.8503
TCGA-BH-A2L8-01	LumA	LumA	LumA		0.5579
TCGA-BH-A42T-01	LumB		LumB		0.7107
TCGA-BH-A42U-01	Normal		Normal		0.6973
TCGA-BH-A42V-01	LumA		LumA		0.6497
TCGA-BH-A5IZ-01	Basal		Basal		0.7992
TCGA-BH-A5J0-01	LumB		LumB		0.6386
TCGA-BH-A6R8-01	LumB		LumB		0.7913
TCGA-BH-A6R9-01	Basal		Basal		0.6509
TCGA-BH-A8FY-01	LumB		LumB		0.8839
TCGA-BH-A8FZ-01	Normal		Normal		0.6573
TCGA-BH-A8G0-01	LumA		LumA		0.6126
TCGA-BH-AB28-01	LumA		LumA		0.643
TCGA-C8-A12K-01	Basal	Basal	Basal		0.5578
TCGA-C8-A12L-01	Her2	Her2	Her2		0.7913
TCGA-C8-A12M-01	LumB	LumB	LumB		0.869
TCGA-C8-A12N-01	LumA	LumA	LumA		0.769
TCGA-C8-A12O-01	Her2	LumA	LumA		0.6455
TCGA-C8-A12P-01	Her2	Her2	Her2		0.6757
TCGA-C8-A12Q-01	Her2	Her2	Her2		0.6581
TCGA-C8-A12T-01	Her2	Her2	Her2		0.8266
TCGA-C8-A12U-01	LumB	LumB	LumB		0.7913
TCGA-C8-A12V-01	Basal	Basal	Basal		0.5043
TCGA-C8-A12W-01	Her2	LumB	LumB		0.6252
TCGA-C8-A12X-01	LumB	LumA	LumA		0.7991
TCGA-C8-A12Y-01	LumB	LumA	LumA		0.7913
TCGA-C8-A12Z-01	Her2	Her2	Her2		0.8648
TCGA-C8-A130-01	LumB	LumB	LumB		0.7243
TCGA-C8-A131-01	Basal	Basal	Basal		0.7024
TCGA-C8-A132-01	LumA	LumA	LumA		0.5228
TCGA-C8-A133-01	LumA	LumA	LumA		0.8806
TCGA-C8-A134-01	Basal	Basal	Basal		0.7792
TCGA-C8-A135-01	Her2	Her2	Her2		0.6789
TCGA-C8-A137-01	Her2	Her2	Her2		0.874
TCGA-C8-A138-01	Her2	Her2	Her2		0.5707
TCGA-C8-A1HE-01	LumA	LumA	LumA		0.8548
TCGA-C8-A1HF-01	Her2	Her2	Her2		0.6122
TCGA-C8-A1HG-01	LumB	LumB	LumB		0.6315
TCGA-C8-A1HI-01	LumA	LumA	LumA		0.675
TCGA-C8-A1HJ-01	Basal	Basal	Basal		0.8699
TCGA-C8-A1HK-01	Her2	Her2	Her2		0.8752
TCGA-C8-A1HL-01	LumB	LumB	LumB		0.8042
TCGA-C8-A1HM-01	LumB	LumB	LumB		0.5704
TCGA-C8-A1HN-01	LumB	LumB	LumB		0.8408
TCGA-C8-A1HO-01	LumB	LumA	LumA		0.9101
TCGA-C8-A26V-01	LumB	LumB	LumB		0.8558
TCGA-C8-A26W-01	LumB	LumB	LumB		0.7058
TCGA-C8-A26X-01	Her2	Her2	Her2		0.484
TCGA-C8-A26Y-01	Her2	Her2	Her2		0.7554
TCGA-C8-A26Z-01	LumB	LumA	LumA		0.8701
TCGA-C8-A273-01	LumB	LumA	LumA		0.8503
TCGA-C8-A274-01	LumB	LumB	LumB		0.8912
TCGA-C8-A275-01	Her2	Her2	Her2		0.6608
TCGA-C8-A278-01	Her2	Her2	Her2		0.498
TCGA-C8-A27A-01	LumB	LumB	LumB		0.8949
TCGA-C8-A27B-01	Basal	Basal	Basal		0.7069
TCGA-C8-A3M7-01	Normal	LumA	LumA		0.6962
TCGA-C8-A3M8-01	LumB	LumB	LumB		0.8177
TCGA-C8-A8HP-01	Her2		Her2		0.5794
TCGA-C8-A8HQ-01	LumB		LumB		0.6573
TCGA-C8-A8HR-01	Basal		Basal		0.6573
TCGA-D8-A13Y-01	LumB	LumB	LumB		0.971
TCGA-D8-A13Z-01	Her2	Her2	Her2		0.6349
TCGA-D8-A140-01	LumB	LumA	LumA		0.7561
TCGA-D8-A141-01	LumA	LumA	LumA		0.419
TCGA-D8-A142-01	Basal	Basal	Basal		0.6273
TCGA-D8-A143-01	Basal	Basal	Basal		0.8311
TCGA-D8-A145-01	LumA	LumA	LumA		0.6802
TCGA-D8-A146-01	LumA	LumA	LumA		0.6305
TCGA-D8-A147-01	Basal	Basal	Basal		0.7595
TCGA-D8-A1J8-01	LumB	LumB	LumB		0.7215
TCGA-D8-A1J9-01	Her2	LumB	LumB		0.667
TCGA-D8-A1JA-01	Her2	Her2	Her2		0.8858
TCGA-D8-A1JB-01	LumA	LumA	LumA		0.4648
TCGA-D8-A1JC-01	LumB	LumB	LumB		0.832
TCGA-D8-A1JD-01	LumB	LumB	LumB		0.6188
TCGA-D8-A1JE-01	LumB	LumB	LumB		0.6837
TCGA-D8-A1JF-01	Her2	Her2	Her2		0.7164
TCGA-D8-A1JG-01	Her2	Her2	Her2		0.5724
TCGA-D8-A1JH-01	LumA	LumA	LumA		0.6126
TCGA-D8-A1JI-01	LumB	LumB	LumB		0.899
TCGA-D8-A1JJ-01	LumB	LumB	LumB		0.7272
TCGA-D8-A1JK-01	Her2	Basal	Basal		0.5818
TCGA-D8-A1JL-01	Basal	Basal	Basal		0.4777
TCGA-D8-A1JM-01	Basal	Basal	Basal		0.9111
TCGA-D8-A1JN-01	LumA	LumA	LumA		0.9449
TCGA-D8-A1JP-01	LumB	LumA	LumA		0.8198
TCGA-D8-A1JS-01	LumA	LumA	LumA		0.9714
TCGA-D8-A1JT-01	LumB	LumB	LumB		0.9024
TCGA-D8-A1JU-01	LumA	LumA	LumA		0.5122
TCGA-D8-A1X5-01	LumB	LumB	LumB		0.7027
TCGA-D8-A1X6-01	LumB	LumB	LumB		0.7399
TCGA-D8-A1X7-01	LumB	LumB	LumB		0.8307
TCGA-D8-A1X8-01	LumA	LumA	LumA		0.7121
TCGA-D8-A1X9-01	LumB	LumA	LumA		0.8703
TCGA-D8-A1XA-01	LumB	LumA	LumA		0.8552
TCGA-D8-A1XB-01	LumA	LumA	LumA		0.8248
TCGA-D8-A1XC-01	LumB	LumA	LumA		0.9423
TCGA-D8-A1XD-01	LumA	LumA	LumA		0.8916
TCGA-D8-A1XF-01	LumB	LumB	LumB		0.9159
TCGA-D8-A1XG-01	LumA	LumA	LumA		0.8957
TCGA-D8-A1XJ-01	Her2	Her2	Her2		0.838
TCGA-D8-A1XK-01	Basal	Basal	Basal		0.6505
TCGA-D8-A1XL-01	LumB	LumB	LumB		0.7184
TCGA-D8-A1XM-01	LumB	LumA	LumA		0.6665
TCGA-D8-A1XO-01	LumA	LumA	LumA		0.7386
TCGA-D8-A1XQ-01	Basal	Basal	Basal		0.6581
TCGA-D8-A1XR-01	LumB	LumB	LumB		0.8245
TCGA-D8-A1XS-01	LumB	LumB	LumB		0.764
TCGA-D8-A1XT-01	Her2	Her2	Her2		0.7206
TCGA-D8-A1XU-01	LumA	LumA	LumA		0.805
TCGA-D8-A1XV-01	LumB	LumA	LumA		0.8689
TCGA-D8-A1XW-01	Basal	Normal	Normal		0.6698
TCGA-D8-A1XY-01	LumA	LumA	LumA		0.6991
TCGA-D8-A1XZ-01	LumB	LumB	LumB		0.7704
TCGA-D8-A1Y0-01	LumB	LumA	LumA		0.7198
TCGA-D8-A1Y1-01	LumB	LumB	LumB		0.6898
TCGA-D8-A1Y2-01	LumB	LumB	LumB		0.4127
TCGA-D8-A1Y3-01	LumB	LumB	LumB		0.8137
TCGA-D8-A27E-01	LumA	LumA	LumA		0.8092
TCGA-D8-A27F-01	Basal	Basal	Basal		0.8014
TCGA-D8-A27G-01	LumB	LumA	LumA		0.706
TCGA-D8-A27H-01	Basal	Basal	Basal		0.7659
TCGA-D8-A27I-01	LumA	LumA	LumA		0.5941
TCGA-D8-A27K-01	LumA	LumA	LumA		0.7268
TCGA-D8-A27L-01	LumA	LumA	LumA		0.7847
TCGA-D8-A27M-01	Basal	Basal	Basal		0.5446
TCGA-D8-A27N-01	Her2	LumB	LumB		0.7521
TCGA-D8-A27P-01	LumA	LumA	LumA		0.8136
TCGA-D8-A27R-01	LumB	LumB	LumB		0.6439
TCGA-D8-A27T-01	LumB	LumA	LumA		0.7142
TCGA-D8-A27V-01	LumA	LumA	LumA		0.7582
TCGA-D8-A27W-01	LumB	LumB	LumB		0.7155
TCGA-D8-A3Z5-01	LumA		LumA		0.847
TCGA-D8-A3Z6-01	LumA		LumA		0.7739
TCGA-D8-A4Z1-01	LumA		LumA		0.7466
TCGA-D8-A73U-01	LumA		LumA		0.4138
TCGA-D8-A73W-01	LumB		LumB		0.7887
TCGA-D8-A73X-01	LumA		LumA		0.7466
TCGA-E2-A105-01	LumB	LumA	LumA		0.9302
TCGA-E2-A106-01	LumA	LumA	LumA		0.9548
TCGA-E2-A107-01	LumB		LumB		0.7959
TCGA-E2-A108-01	Basal	Normal	Normal		0.4458
TCGA-E2-A109-01	LumB	LumB	LumB		0.8553
TCGA-E2-A10A-01	LumB	LumA	LumA		0.7834
TCGA-E2-A10B-01	LumB	LumA	LumA		0.8646
TCGA-E2-A10C-01	LumB	LumB	LumB		0.6938
TCGA-E2-A10E-01	LumB	LumA	LumA		0.9071
TCGA-E2-A10F-01	LumB	LumA	LumA		0.706
TCGA-E2-A14N-01	Basal	Basal	Basal		0.4769
TCGA-E2-A14O-01	LumB	LumB	LumB		0.8171
TCGA-E2-A14P-01	Her2	Her2	Her2		0.7019
TCGA-E2-A14Q-01	LumA	LumA	LumA		0.7913
TCGA-E2-A14R-01	Basal	Basal	Basal		0.7437
TCGA-E2-A14S-01	LumB	LumB	LumB		0.769
TCGA-E2-A14T-01	LumB	LumA	LumA		0.7915
TCGA-E2-A14U-01	LumA		LumA		0.8515
TCGA-E2-A14V-01	Her2	Her2	Her2		0.7019
TCGA-E2-A14W-01	LumB	LumB	LumB		0.6844
