sample_id	PAM50_recomputed	PAM50Call_RNAseq	PAM50_final	thornsson_subtype	CPE
TCGA-A2-A0YL-01	Normal	LumA	LumA		0.7032
TCGA-A2-A0YM-01	Basal	Basal	Basal		0.7266
TCGA-A2-A0YT-01	LumB	LumB	LumB		0.7817
TCGA-A2-A1FV-01	LumA	LumA	LumA		0.9309
TCGA-A2-A1FW-01	LumB	LumB	LumB		0.8923
TCGA-A2-A1FX-01	LumB	LumB	LumB		0.8364
TCGA-A2-A1FZ-01	LumA	LumA	LumA		0.7087
TCGA-A2-A1G0-01	LumA	LumA	LumA		0.7088
TCGA-A2-A1G1-01	Basal	Basal	Basal		0.5685
TCGA-A2-A1G4-01	LumB	LumB	LumB		0.8879
TCGA-A2-A1G6-01	LumA	Normal	Normal		0.7913
TCGA-A2-A259-01	LumA	LumA	LumA		0.6159
TCGA-A2-A25A-01	Normal	Normal	Normal		0.595
TCGA-A2-A25B-01	LumB	LumB	LumB		0.8657
TCGA-A2-A25C-01	LumB	LumB	LumB		0.7454
TCGA-A2-A25D-01	LumB	LumA	LumA		0.6756
TCGA-A2-A25E-01	LumB	LumB	LumB		0.8077
TCGA-A2-A25F-01	Basal	Basal	Basal		0.2489
TCGA-A2-A3KC-01	LumA	LumA	LumA		0.7365
TCGA-A2-A3KD-01	LumA	LumA	LumA		0.8248
TCGA-A2-A3XS-01	Basal		Basal		0.7855
TCGA-A2-A3XT-01	Basal		Basal		0.6632
TCGA-A2-A3XU-01	Basal		Basal		0.807
TCGA-A2-A3XV-01	Her2		Her2		0.836
TCGA-A2-A3XW-01	Normal		Normal		0.6063
TCGA-A2-A3XX-01	Basal		Basal		0.7868
TCGA-A2-A3XY-01	Basal		Basal		0.5595
TCGA-A2-A3XZ-01	Her2		Her2		0.6138
TCGA-A2-A3Y0-01	Basal		Basal		0.7326
TCGA-A2-A4RW-01	LumA		LumA		0.7072
TCGA-A2-A4RX-01	Basal		Basal		0.6782
TCGA-A2-A4RY-01	Normal		Normal		0.7913
TCGA-A2-A4S0-01	LumA		LumA		0.883
TCGA-A2-A4S1-01	Basal		Basal		0.4622
TCGA-A2-A4S2-01	LumA		LumA		0.7401
TCGA-A2-A4S3-01	LumB		LumB		0.6935
TCGA-A7-A0CD-01	LumB	LumA	LumA		0.8525
TCGA-A7-A0CE-01	Basal	Basal	Basal		0.8551
TCGA-A7-A0CE-11	Normal		Normal		
TCGA-A7-A0CG-01	LumA	LumA	LumA		0.5327
TCGA-A7-A0CH-01	LumA	LumA	LumA		0.7978
TCGA-A7-A0CH-11	LumA		Normal		
TCGA-A7-A0CJ-01	LumB	LumB	LumB		0.8785
TCGA-A7-A0D9-01	LumA	LumA	LumA		0.8921
TCGA-A7-A0D9-11	Normal	Normal	Normal		
TCGA-A7-A0DA-01	Basal	Basal	Basal		0.7466
TCGA-A7-A0DB-01	LumA	LumA	LumA		0.6494
TCGA-A7-A0DB-11	Basal	Normal	Normal		
TCGA-A7-A0DC-01	LumA	LumA	LumA		
TCGA-A7-A0DC-11	Normal	Normal	Normal		
TCGA-A7-A13D-01	Basal	Basal	Basal		0.8612
TCGA-A7-A13E-01	Basal	Basal	Basal		0.9184
TCGA-A7-A13E-11	Normal	Normal	Normal		
TCGA-A7-A13F-01	LumB	LumB	LumB		0.7915
TCGA-A7-A13F-11	Normal	Normal	Normal		
TCGA-A7-A13G-01	LumA	LumA	LumA		0.9357
TCGA-A7-A13G-11	LumA	LumA	Normal		
TCGA-A7-A13H-01	LumA		LumA		0.671
TCGA-A7-A26E-01	LumA	LumA	LumA		0.7913
TCGA-A7-A26F-01	Basal	Basal	Basal		0.6312
TCGA-A7-A26G-01	Basal	Basal	Basal		0.5182
TCGA-A7-A26H-01	LumA	LumA	LumA		0.7811
TCGA-A7-A26I-01	Basal	Basal	Basal		0.7381
TCGA-A7-A26J-01	LumB	LumA	LumA		0.7009
TCGA-A7-A2KD-01	LumB	LumB	LumB		0.6932
TCGA-A7-A3IY-01	LumA	LumA	LumA		0.614
TCGA-A7-A3IZ-01	LumB	LumA	LumA		0.9059
TCGA-A7-A3J0-01	LumA	LumA	LumA		0.8681
TCGA-A7-A3J1-01	LumA	LumA	LumA		0.6485
TCGA-A7-A3RF-01	LumB		LumB		0.8802
TCGA-A7-A425-01	LumA		LumA		0.8133
TCGA-A7-A426-01	LumA		LumA		0.7037
TCGA-A7-A4SA-01	LumB		LumB		0.7065
TCGA-A7-A4SB-01	LumB		LumB		0.846
TCGA-A7-A4SC-01	LumA		LumA		0.7975
TCGA-A7-A4SD-01	Basal		Basal		0.4889
TCGA-A7-A4SE-01	Basal		Basal		0.7913
TCGA-A7-A4SF-01	Her2		Her2		0.7498
TCGA-A7-A56D-01	LumB		LumB		0.587
TCGA-A7-A5ZV-01	Basal		Basal		0.8146
TCGA-A7-A5ZW-01	LumA		LumA		0.7466
TCGA-A7-A5ZX-01	LumA		LumA		0.836
TCGA-A7-A6VV-01	Basal		Basal		0.6841
TCGA-A7-A6VW-01	Basal		Basal		0.8178
TCGA-A7-A6VX-01	LumB		LumB		0.7913
TCGA-A7-A6VY-01	Basal		Basal		0.5982
TCGA-A8-A06N-01	LumB	LumB	LumB		0.9499
TCGA-A8-A06O-01	LumB	LumB	LumB		0.7379
TCGA-A8-A06P-01	LumA	LumA	LumA		0.6135
TCGA-A8-A06Q-01	LumB	LumB	LumB		0.912
TCGA-A8-A06R-01	LumB	LumB	LumB		0.6126
TCGA-A8-A06T-01	LumB	LumA	LumA		0.7562
TCGA-A8-A06U-01	LumB	LumA	LumA		0.7982
TCGA-A8-A06X-01	LumB	LumB	LumB		0.7535
TCGA-A8-A06Y-01	LumA	LumA	LumA		0.8864
TCGA-A8-A06Z-01	LumB	LumB	LumB		0.8996
TCGA-A8-A075-01	Her2	LumB	LumB		0.6706
TCGA-A8-A076-01	Her2	LumB	LumB		0.7129
TCGA-A8-A079-01	LumB	LumB	LumB		0.8402
TCGA-A8-A07B-01	Her2	LumA	LumA		0.7587
TCGA-A8-A07C-01	Basal	Basal	Basal		0.7396
TCGA-A8-A07E-01	LumB	LumA	LumA		0.656
TCGA-A8-A07F-01	LumB	LumA	LumA		0.7302
TCGA-A8-A07G-01	LumA	LumA	LumA		0.6288
TCGA-A8-A07I-01	Her2	Her2	Her2		0.836
TCGA-A8-A07J-01	LumA	LumA	LumA		0.6573
TCGA-A8-A07L-01	LumB	LumB	LumB		0.8472
TCGA-A8-A07O-01	Basal	Basal	Basal		0.7915
TCGA-A8-A07P-01	LumB	LumA	LumA		0.733
TCGA-A8-A07R-01	Basal	Basal	Basal		0.893
TCGA-A8-A07S-01	LumB	LumB	LumB		0.8806
TCGA-A8-A07U-01	Basal	Basal	Basal		0.4026
TCGA-A8-A07W-01	LumB	LumB	LumB		0.7274
TCGA-A8-A07Z-01	LumB		LumB		0.8806
TCGA-A8-A081-01	LumB	LumB	LumB		0.7511
TCGA-A8-A082-01	LumB	LumB	LumB		0.7587
TCGA-A8-A083-01	LumA	LumA	LumA		0.893
TCGA-A8-A084-01	LumB	LumB	LumB		0.8224
TCGA-A8-A085-01	LumB	LumB	LumB		0.8605
TCGA-A8-A086-01	LumB	LumA	LumA		0.724
TCGA-A8-A08A-01	LumB		LumB		0.6746
TCGA-A8-A08B-01	Her2	Her2	Her2		0.7913
TCGA-A8-A08C-01	LumB	LumA	LumA		0.8423
TCGA-A8-A08F-01	LumB	LumB	LumB		0.7413
TCGA-A8-A08G-01	LumB	LumB	LumB		0.7383
TCGA-A8-A08H-01	Basal	Normal	Normal		0.3776
TCGA-A8-A08I-01	LumB	LumB	LumB		0.7019
TCGA-A8-A08J-01	Her2	Her2	Her2		0.7508
TCGA-A8-A08L-01	Her2	Her2	Her2		0.7132
TCGA-A8-A08O-01	LumA	LumA	LumA		0.8251
TCGA-A8-A08P-01	LumB	LumB	LumB		0.6126
TCGA-A8-A08R-01	Basal	Basal	Basal		0.6015
TCGA-A8-A08S-01	LumB	LumB	LumB		0.8646
TCGA-A8-A08T-01	LumB	LumA	LumA		0.7913
TCGA-A8-A08X-01	Her2	Her2	Her2		0.5296
TCGA-A8-A08Z-01	LumB	LumA	LumA		0.7508
TCGA-A8-A090-01	LumB	LumA	LumA		0.7223
TCGA-A8-A091-01	LumB	LumA	LumA		0.7984
TCGA-A8-A092-01	LumB	LumB	LumB		0.7971
TCGA-A8-A093-01	LumB	LumA	LumA		0.7953
TCGA-A8-A094-01	Her2	Her2	Her2		0.5718
TCGA-A8-A095-01	LumB	LumB	LumB		0.7011
TCGA-A8-A096-01	LumB	LumB	LumB		0.6573
TCGA-A8-A097-01	LumB	LumA	LumA		0.6655
TCGA-A8-A099-01	LumB	LumA	LumA		0.7718
TCGA-A8-A09A-01	LumA	LumA	LumA		0.6764
TCGA-A8-A09B-01	LumB	LumA	LumA		0.7784
TCGA-A8-A09C-01	LumB	LumB	LumB		0.8515
TCGA-A8-A09D-01	LumB	LumA	LumA		0.7034
TCGA-A8-A09E-01	LumB		LumB		0.8806
TCGA-A8-A09G-01	Her2	Her2	Her2		0.7041
TCGA-A8-A09I-01	LumB	LumB	LumB		0.7318
TCGA-A8-A09K-01	LumB	LumA	LumA		0.8836
TCGA-A8-A09M-01	LumB	LumB	LumB		0.836
TCGA-A8-A09N-01	LumB	LumB	LumB		0.7806
TCGA-A8-A09Q-01	LumB	LumB	LumB		0.5457
TCGA-A8-A09R-01	LumB	LumB	LumB		0.656
TCGA-A8-A09T-01	LumB	LumA	LumA		0.744
TCGA-A8-A09V-01	LumB	LumA	LumA		0.787
TCGA-A8-A09W-01	LumB	LumB	LumB		0.7019
TCGA-A8-A09X-01	Her2	Her2	Her2		0.474
TCGA-A8-A09Z-01	LumB		LumB		0.7913
TCGA-A8-A0A1-01	LumB	LumA	LumA		0.6573
TCGA-A8-A0A2-01	LumA	LumA	LumA		0.769
TCGA-A8-A0A4-01	LumA	LumA	LumA		0.787
TCGA-A8-A0A6-01	LumA	LumA	LumA		0.6691
TCGA-A8-A0A7-01	Her2	Her2	Her2		0.3716
TCGA-A8-A0A9-01	LumB	LumA	LumA		0.7913
TCGA-A8-A0AB-01	LumB	LumA	LumA		0.9078
TCGA-A8-A0AD-01	LumB	LumA	LumA		0.7413
TCGA-AC-A23C-01	LumB	LumA	LumA		0.6347
TCGA-AC-A23E-01	LumA	LumA	LumA		0.5792
TCGA-AC-A23G-01	Normal	LumA	LumA		0.5808
TCGA-AC-A23H-01	Her2	Her2	Her2		0.8197
TCGA-AC-A23H-11	Normal	Normal	Normal		
TCGA-AC-A2B8-01	LumA	LumA	LumA		0.6892
TCGA-AC-A2BK-01	Basal	Basal	Basal		0.9767
TCGA-AC-A2BM-01	LumB	LumB	LumB		0.727
TCGA-AC-A2FB-01	LumA	LumA	LumA		0.4436
TCGA-AC-A2FB-11	Normal	Normal	Normal		
TCGA-AC-A2FE-01	LumA		LumA		0.5379
TCGA-AC-A2FF-01	Normal	LumA	LumA		0.6667
TCGA-AC-A2FF-11	Normal	Normal	Normal		
TCGA-AC-A2FG-01	LumA	LumA	LumA		0.7895
TCGA-AC-A2FK-01	Normal	Normal	Normal		0.8222
TCGA-AC-A2FM-01	LumA		LumA		0.8989
TCGA-AC-A2FM-11	Normal		Normal		
TCGA-AC-A2FO-01	LumA	LumA	LumA		0.5956
TCGA-AC-A2QH-01	Basal	Basal	Basal		0.7951
TCGA-AC-A2QI-01	LumA		LumA		0.7098
TCGA-AC-A2QJ-01	Basal		Basal		0.4884
TCGA-AC-A3BB-01	LumA		LumA		0.5299
TCGA-AC-A3EH-01	LumA		LumA		0.8033
TCGA-AC-A3HN-01	LumA	LumA	LumA		0.6751
TCGA-AC-A3OD-01	LumA	LumA	LumA		0.6141
TCGA-AC-A3QP-01	LumA		LumA		0.804
TCGA-AC-A3QQ-01	Her2		Her2		0.7771
TCGA-AC-A3TM-01	LumB		LumB		0.8322
TCGA-AC-A3TN-01	LumA		LumA		0.8632
TCGA-AC-A3W5-01	Her2		Her2		0.6823
TCGA-AC-A3W6-01	LumB		LumB		0.5696
TCGA-AC-A3W7-01	LumA		LumA		0.7726
TCGA-AC-A3YI-01	Normal		Normal		0.607
TCGA-AC-A3YJ-01	LumB		LumB		0.7918
TCGA-AC-A4ZE-01	LumB		LumB		0.8169
TCGA-AC-A5EH-01	Her2		Her2		0.7604
TCGA-AC-A5XS-01	LumB		LumB		0.656
TCGA-AC-A5XU-01	LumB		LumB		0.7798
TCGA-AC-A62V-01	LumB		LumB		0.7923
TCGA-AC-A62X-01	Basal		Basal		0.9269
TCGA-AC-A62Y-01	LumB		LumB		0.7913
TCGA-AC-A6IV-01	LumB		LumB		0.6198
TCGA-AC-A6IW-01	Basal		Basal		0.5423
TCGA-AC-A6IX-01	LumA		LumA		
TCGA-AC-A6IX-06	LumB		LumB		0.6047
TCGA-AC-A6NO-01	LumA		LumA		0.8625
TCGA-AC-A7VB-01	LumB		LumB		0.9649
TCGA-AC-A7VC-01	Basal		Basal		0.6409
TCGA-AC-A8OP-01	LumA		LumA		0.762
TCGA-AC-A8OQ-01	Basal		Basal		0.5986
TCGA-AC-A8OR-01	LumA		LumA		0.8006
TCGA-AC-A8OS-01	LumA		LumA		0.6523
TCGA-AN-A03X-01	LumB	LumA	LumA		0.6844
TCGA-AN-A03Y-01	LumB	LumB	LumB		0.7892
TCGA-AN-A041-01	LumB	LumA	LumA		0.7223
TCGA-AN-A046-01	LumB	LumA	LumA		0.7034
TCGA-AN-A049-01	LumB	LumA	LumA		0.6627
TCGA-AN-A04A-01	LumA	LumA	LumA		0.7125
TCGA-AN-A04C-01	Her2	Her2	Her2		0.8375
TCGA-AN-A04D-01	Basal	Basal	Basal		0.9699
TCGA-AN-A0AJ-01	LumB	LumB	LumB		0.7697
TCGA-AN-A0AK-01	LumB	LumB	LumB		0.8077
TCGA-AN-A0AL-01	Basal	Basal	Basal		0.6126
TCGA-AN-A0AM-01	LumB	LumB	LumB		0.7049
TCGA-AN-A0AR-01	Basal		Basal		0.9397
TCGA-AN-A0AS-01	LumB	LumA	LumA		0.6939
TCGA-AN-A0AT-01	Basal	Basal	Basal		0.7913
TCGA-AN-A0FD-01	LumB	LumA	LumA		0.8136
TCGA-AN-A0FF-01	LumB	LumB	LumB		0.8646
TCGA-AN-A0FJ-01	Basal	Basal	Basal		0.8179
TCGA-AN-A0FK-01	LumB	LumA	LumA		0.8266
TCGA-AN-A0FL-01	Basal	Basal	Basal		0.9115
TCGA-AN-A0FN-01	LumB	LumA	LumA		0.4
TCGA-AN-A0FS-01	LumA	LumA	LumA		0.7357
TCGA-AN-A0FT-01	Her2	LumA	LumA		0.7243
TCGA-AN-A0FV-01	Her2	Her2	Her2		0.7019
TCGA-AN-A0FW-01	LumB	LumA	LumA		0.7805
TCGA-AN-A0FX-01	Basal	Basal	Basal		0.8136
TCGA-AN-A0FY-01	LumB	LumB	LumB		0.7921
TCGA-AN-A0FZ-01	LumB	LumA	LumA		0.7466
TCGA-AN-A0G0-01	Basal	Basal	Basal		0.8131
TCGA-AN-A0XL-01	LumA	LumA	LumA		0.6888
TCGA-AN-A0XN-01	Her2	LumA	LumA		0.6999
TCGA-AN-A0XO-01	LumA	LumA	LumA		0.8323
TCGA-AN-A0XP-01	LumA	LumA	LumA		0.8277
TCGA-AN-A0XR-01	LumB	LumB	LumB		0.9256
TCGA-AN-A0XS-01	LumA	LumA	LumA		0.7201
TCGA-AN-A0XT-01	LumA	LumA	LumA		0.8163
TCGA-AN-A0XU-01	Basal	Basal	Basal		0.7875
TCGA-AN-A0XV-01	LumB	LumA	LumA		0.7121
TCGA-AN-A0XW-01	LumB	LumA	LumA		0.6989
TCGA-AO-A03L-01	Her2	LumA	LumA		0.7349
TCGA-AO-A03M-01	Her2	LumA	LumA		0.6514
TCGA-AO-A03N-01	LumB	LumB	LumB		0.7942
TCGA-AO-A03O-01	LumB	LumB	LumB		0.7688
TCGA-AO-A03P-01	LumB	LumB	LumB		0.8316
TCGA-AO-A03R-01	LumB	Normal	Normal		0.7243
TCGA-AO-A03T-01	LumB	Normal	Normal		0.813
TCGA-AO-A03U-01	Basal	Normal	Normal		0.6747
