module	axis	source
analyses/pressure_dev/build_highconf_pressure.py	edge-existence	auto
analyses/pressure_dev/denominator_attribution_sweep.py	attribution	auto
analyses/pressure_dev/hybrid_param_sensitivity.py	subtype	auto
analyses/pressure_dev/pressure_attribution_validation.py	attribution	auto
analyses/pressure_dev/pressure_constant_sensitivity.py	edge-existence	auto
analyses/pressure_dev/pressure_evidence_sensitivity.py	shared	fallback
analyses/pressure_dev/pressure_layer_comparison.py	edge-existence	auto
analyses/pressure_dev/pressure_prognostic_gene_centric.py	outcome	auto
analyses/pressure_dev/pressure_prognostic_improve.py	external	auto
analyses/pressure_dev/pressure_prognostic_signature.py	progression	auto
analyses/pressure_dev/pressure_sensitivity.py	edge-existence	auto
analyses/pressure_dev/program_pressure_by_role.py	progression	auto
analyses/spatial/_spatial_selftest.py	edge-existence	auto
analyses/spatial/spatial_coexpression_niche.py	shared	fallback
analyses/spatial/spatial_common.py	edge-existence	auto
analyses/spatial/spatial_deconv_c2l.py	shared	fallback
analyses/spatial/spatial_malignancy_retest.py	dcis-ev	auto
analyses/spatial/spatial_mibi_anchor.py	protein	auto
analyses/spatial/spatial_synthesis.py	edge-existence	auto
analyses/spatial/spatial_visium_public.py	shared	fallback
analyses/spatial/spatial_visium_wu.py	dcis-ev	auto
analyses/spatial/spatial_xenium.py	model	auto
arm_expression.py	shared	curated
brca_deconvolution.py	shared	curated
build_edges.py	shared	curated
config.py	shared	curated
coupling_inference.py	edge-existence	auto
coupling_predictor_comparison.py	edge-existence	auto
cptac_batch.py	shared	curated
data_loaders.py	shared	curated
dual_spine_comparison.py	shared	fallback
encori_edges.py	shared	curated
estimate_scores.py	shared	curated
eval/_e6_production_check.py	discovery	auto
eval/_niter_bias_test.py	model	auto
eval/_niter_floor_test.py	model	auto
eval/_share_drift_check.py	model	auto
eval/attribution_showdown.py	attribution	auto
eval/buffa_validation.py	protein	auto
eval/core_coupling_composition_retest.py	edge-existence	auto
eval/core_coupling_deconv_retest.py	edge-existence	auto
eval/coupling_grid.py	protein	auto
eval/coupling_permutation.py	edge-existence	auto
eval/cptac_validation.py	protein	auto
eval/decoy_bench.py	decoy	auto
eval/grid_full.py	protein	auto
eval/grid_oof.py	model	auto
eval/held_out_tuning.py	edge-existence	auto
eval/protein_compartment_null.py	protein	auto
eval/site_free_null.py	edge-existence	auto
eval/targetscan_orphan_coupling.py	discovery	auto
eval/within_family_cn_iv.py	cn-causal	auto
eval/within_family_showdown.py	model	auto
evidence_scoring.py	shared	curated
family_normal_reference.py	progression	auto
gene_roles.py	shared	curated
gtex_mirna_matrix.py	shared	curated
hallmark_interaction.py	shared	curated
hallmark_sets.py	shared	curated
healthy_anchor.py	shared	curated
hybrid_pressure.py	shared	curated
learned/ago_loading.py	progression	auto
learned/analyses/attribution_identity.py	attribution	auto
learned/analyses/eb_shrink.py	model	curated
learned/analyses/enrichment.py	discovery	auto
learned/analyses/gene_atlas.py	decoy	auto
learned/analyses/genome_p0_spec_sweep.py	edge-existence	auto
learned/analyses/genome_seq_fdr.py	edge-existence	auto
learned/analyses/identity_payoff_genome.py	shared	fallback
learned/analyses/immune_completeness.py	shared	fallback
learned/analyses/lineage_verdict.py	subtype	auto
learned/analyses/parallel_view.py	progression	auto
learned/analyses/program_network.py	edge-existence	auto
learned/analyses/shrinkage_compare.py	model	auto
learned/attribution.py	attribution	auto
learned/attribution_eb.py	model	curated
learned/calibration.py	model	auto
learned/card.py	model	curated
learned/channel_cn.py	model	auto
learned/chimeric_evidence.py	shared	fallback
learned/confounders.py	model	curated
learned/cooperativity.py	shared	fallback
learned/coupling.py	edge-existence	auto
learned/cptac_data.py	protein	auto
learned/data.py	model	curated
learned/discovery.py	discovery	auto
learned/eval/bayes_parity.py	protein	auto
learned/eval/dossier.py	protein	auto
learned/eval/ood_protein.py	protein	auto
learned/eval/retrofit.py	discovery	auto
learned/eval/shuffled_null.py	edge-existence	auto
learned/evidence/calibrate.py	protein	auto
learned/evidence/direction.py	edge-existence	auto
learned/evidence/ledger.py	shared	fallback
learned/evidence/methods.py	edge-existence	auto
learned/families.py	model	curated
learned/gauge.py	model	curated
learned/genomic_context.py	protein	auto
learned/hierarchical.py	model	curated
learned/instrument.py	edge-existence	auto
learned/kd.py	model	auto
learned/methylation.py	shared	fallback
learned/mvp.py	model	curated
learned/occupancy.py	model	curated
learned/priors.py	model	curated
learned/programs.py	model	curated
learned/prolif_verdict.py	edge-existence	auto
learned/rarity_bench.py	model	auto
learned/readouts.py	model	curated
learned/regression.py	model	curated
learned/seed_rarity.py	decoy	auto
learned/seq_spec_bench.py	edge-existence	auto
learned/seq_specificity.py	decoy	auto
learned/spike_slab.py	model	curated
learned/state.py	model	auto
learned/states.py	progression	auto
learned/structural_identity.py	edge-existence	auto
learned/subtype.py	subtype	auto
learned/within_family.py	protein	auto
method_dev/landscape/cohort_overview.py	shared	fallback
method_dev/landscape/cross_state_top50.py	progression	auto
method_dev/landscape/gene_regulator_expression.py	shared	fallback
method_dev/landscape/he_edge_arm_landscape.py	shared	fallback
method_dev/landscape/pten_competition.py	shared	fallback
method_dev/site_ladder/discovery_site_evidence.py	discovery	auto
method_dev/site_ladder/no_seed_edges.py	shared	fallback
method_dev/site_ladder/site_filter_ladder.py	shared	fallback
method_dev/site_ladder/site_genomic_l5.py	shared	fallback
method_dev/site_ladder/site_interaction_schematic.py	edge-existence	auto
method_dev/site_ladder/utr_seed_scan.py	shared	fallback
method_dev/site_ladder/validate_ladder_experimental.py	shared	fallback
mirna_arm_resolve.py	shared	curated
mirna_locus_cnv.py	cn-causal	auto
mirna_state_class.py	progression	auto
pam50_gene_resolution.py	subtype	auto
presentation/make_figures.py	external	auto
pressure_build.py	shared	curated
pressure_engine.py	shared	curated
pressure_signature_curated_info.py	external	auto
robustness_checks.py	subtype	auto
run_all.py	shared	curated
seed_family_justification.py	edge-existence	auto
stats.py	shared	curated
stratum_characterization.py	subtype	auto
subtype_contrasts.py	subtype	auto
tcga_batch.py	shared	curated
visibility_archetype_contrasts.py	subtype	auto
